State,County,Normalization 
Pennsylvania,Dauphin County,Dauphin County
Pennsylvania,Delaware County,Delaware County
Pennsylvania,Erie County,Erie County
Pennsylvania,Fayette County,Fayette County
Pennsylvania,Franklin County,Franklin County
Pennsylvania,Greene County,Greene County
Pennsylvania,Huntingdon County,Huntingdon County
Pennsylvania,Indiana County,Indiana County
Pennsylvania,Lackawanna County,Lackawanna County
Pennsylvania,Lancaster County,Lancaster County
Pennsylvania,Lawrence County,Lawrence County
Pennsylvania,Lebanon County,Lebanon County
Pennsylvania,Lehigh County,Lehigh County
Pennsylvania,Luzerne County,Luzerne County
Pennsylvania,Lycoming County,Lycoming County
Pennsylvania,Mercer County,Mercer County
Pennsylvania,Mifflin County,Mifflin County
Pennsylvania,Montgomery County,Montgomery County
Pennsylvania,Northampton County,Northampton County
Pennsylvania,Northumberland County,Northumberland County
Pennsylvania,Perry County,Perry County
Pennsylvania,Pike County,Pike County
Pennsylvania,Schuylkill County,Schuylkill County
Pennsylvania,Snyder County,Snyder County
Pennsylvania,Somerset County,Somerset County
Pennsylvania,Susquehanna County,Susquehanna County
Pennsylvania,Tioga County,Tioga County
Pennsylvania,Union County,Union County
Pennsylvania,Venango County,Venango County
Pennsylvania,Warren County,Warren County
Pennsylvania,Washington County,Washington County
Pennsylvania,Westmoreland County,Westmoreland County
Pennsylvania,York County,York County
Rhode Island,Kent County,Kent County
Rhode Island,Providence County,Providence County
Rhode Island,Washington County,Washington County
South Carolina,Abbeville County,Abbeville County
South Carolina,Aiken County,Aiken County
South Carolina,Anderson County,Anderson County
South Carolina,Beaufort County,Beaufort County
South Carolina,Charleston County,Charleston County
South Carolina,Cherokee County,Cherokee County
South Carolina,Chesterfield County,Chesterfield County
South Carolina,Colleton County,Colleton County
South Carolina,Darlington County,Darlington County
South Carolina,Dorchester County,Dorchester County
South Carolina,Fairfield County,Fairfield County
South Carolina,Greenville County,Greenville County
South Carolina,Greenwood County,Greenwood County
South Carolina,Hampton County,Hampton County
South Carolina,Horry County,Horry County
South Carolina,Lancaster County,Lancaster County
South Carolina,Marion County,Marion County
South Carolina,Oconee County,Oconee County
South Carolina,Orangeburg County,Orangeburg County
South Carolina,Pickens County,Pickens County
South Carolina,Richland County,Richland County
South Carolina,Sumter County,Sumter County
South Carolina,Union County,Union County
South Carolina,York County,York County
Tennessee,Anderson County,Anderson County
Tennessee,Benton County,Benton County
Tennessee,Carter County,Carter County
Tennessee,Cheatham County,Cheatham County
Tennessee,Chester County,Chester County
Tennessee,Crockett County,Crockett County
Tennessee,Cumberland County,Cumberland County
Tennessee,Davidson County,Davidson County
Tennessee,DeKalb County,DeKalb County
Tennessee,Fentress County,Fentress County
Tennessee,Franklin County,Franklin County
Tennessee,Gibson County,Gibson County
Tennessee,Giles County,Giles County
Tennessee,Hamilton County,Hamilton County
Tennessee,Hardeman County,Hardeman County
Tennessee,Hardin County,Hardin County
Tennessee,Henry County,Henry County
Tennessee,Jefferson County,Jefferson County
Tennessee,Lawrence County,Lawrence County
Tennessee,Lewis County,Lewis County
Tennessee,Loudon County,Loudon County
Tennessee,Macon County,Macon County
Tennessee,Marion County,Marion County
Tennessee,Monroe County,Monroe County
Tennessee,Morgan County,Morgan County
Tennessee,Obion County,Obion County
Tennessee,Polk County,Polk County
Tennessee,Rhea County,Rhea County
Tennessee,Robertson County,Robertson County
Tennessee,Scott County,Scott County
Tennessee,Sevier County,Sevier County
Tennessee,Shelby County,Shelby County
Tennessee,Tipton County,Tipton County
Tennessee,Unicoi County,Unicoi County
Tennessee,Van Buren County,Van Buren County
Tennessee,Warren County,Warren County
Tennessee,Washington County,Washington County
Tennessee,Weakley County,Weakley County
Tennessee,Williamson County,Williamson County
Tennessee,Wilson County,Wilson County
Vermont,Addison County,Addison County
Vermont,Caledonia County,Caledonia County
Vermont,Chittenden County,Chittenden County
Vermont,Lamoille County,Lamoille County
Vermont,Rutland County,Rutland County
Vermont,Washington County,Washington County
Vermont,Windham County,Windham County
Vermont,Windsor County,Windsor County
Virginia,Accomack County,Accomack County
Virginia,Albemarle County,Albemarle County
Virginia,Amelia County,Amelia County
Virginia,Bedford County,Bedford City and County
Virginia,Botetourt County,Botetourt County
Virginia,Brunswick County,Brunswick County
Virginia,Carroll County,Carroll County
Virginia,Clarke County,Clarke County
Virginia,Craig County,Craig County
Virginia,Cumberland County,Cumberland County
Virginia,Fairfax County,Fairfax County
Virginia,Fauquier County,Fauquier County
Virginia,Frederick County,Frederick County
Virginia,Grayson County,Grayson County
Virginia,Greensville County,Greensville County
Virginia,Halifax County,Halifax County
Virginia,Henrico County,Henrico County
Virginia,Isle of Wight County,Isle of Wight County
Virginia,King and Queen County,King and Queen County
Virginia,Lee County,Lee County
Virginia,Loudoun County,Loudoun County
Virginia,Manassas,Manassas City
Virginia,Mathews County,Mathews County
Virginia,Northampton County,Northampton County
Virginia,Page County,Page County
Virginia,Prince Edward County,Prince Edward County
Virginia,Prince William County,Prince William County
Virginia,Pulaski County,Pulaski County
Virginia,Richmond,Richmond City
Virginia,Scott County,Scott County
Virginia,Shenandoah County,Shenandoah County
Virginia,Smyth County,Smyth County
Virginia,Stafford County,Stafford County
Virginia,Surry County,Surry County
Virginia,Sussex County,Sussex County
Virginia,Waynesboro,Waynesboro City
Virginia,Winchester,Winchester
Washington,Adams County,Adams County
Washington,Clallam County,Clallam County
Washington,Douglas County,Douglas County
Washington,Ferry County,Ferry County
Washington,Franklin County,Franklin County
Washington,Grant County,Grant County
Washington,Grays Harbor County,Grays Harbor County
Washington,Island County,Island County
Washington,Jefferson County,Jefferson County
Washington,King County,King County
Washington,Kitsap County,Kitsap County
Washington,Kittitas County,Kittitas County
Washington,Lewis County,Lewis County
Washington,Mason County,Mason County
Washington,Okanogan County,Okanogan County
Washington,Pacific County,Pacific County
Washington,Pierce County,Pierce County
Washington,Skagit County,Skagit County
Washington,Snohomish County,Snohomish County
Washington,Spokane County,Spokane County
Washington,Walla Walla County,Walla Walla County
Washington,Whatcom County,Whatcom County
Washington,Yakima County,Yakima County
West Virginia,Barbour County,Barbour County
West Virginia,Boone County,Boone County
West Virginia,Braxton County,Braxton County
West Virginia,Fayette County,Fayette County
West Virginia,Hampshire County,Hampshire County
West Virginia,Harrison County,Harrison County
West Virginia,Jefferson County,Jefferson County
West Virginia,Kanawha County,Kanawha County
West Virginia,Lincoln County,Lincoln County
West Virginia,Logan County,Logan County
West Virginia,McDowell County,McDowell County
West Virginia,Mercer County,Mercer County
West Virginia,Mineral County,Mineral County
West Virginia,Nicholas County,Nicholas County
West Virginia,Ohio County,Ohio County
West Virginia,Preston County,Preston County
West Virginia,Raleigh County,Raleigh County
West Virginia,Randolph County,Randolph County
West Virginia,Ritchie County,Ritchie County
West Virginia,Wayne County,Wayne County
West Virginia,Wood County,Wood County
West Virginia,Wyoming County,Wyoming County
Wisconsin,Adams County,Adams County
Wisconsin,Bayfield County,Bayfield County
Wisconsin,Brown County,Brown County
Wisconsin,Buffalo County,Buffalo County
Wisconsin,Calumet County,Calumet County
Wisconsin,Chippewa County,Chippewa County
Wisconsin,Columbia County,Columbia County
Wisconsin,Crawford County,Crawford County
Wisconsin,Dane County,Dane County
Wisconsin,Dodge County,Dodge County
Wisconsin,Door County,Door County
Wisconsin,Douglas County,Douglas County
Wisconsin,Dunn County,Dunn County
Wisconsin,Fond du Lac County,Fond du Lac County
Wisconsin,Grant County,Grant County
Wisconsin,Green County,Green County
Wisconsin,Green Lake County,Green Lake County
Wisconsin,Iowa County,Iowa County
Wisconsin,Jackson County,Jackson County
Wisconsin,Jefferson County,Jefferson County
Wisconsin,Juneau County,Juneau County
Wisconsin,Kenosha County,Kenosha County
Wisconsin,Lafayette County,Lafayette County
Wisconsin,Manitowoc County,Manitowoc County
Wisconsin,Marathon County,Marathon County
Wisconsin,Marinette County,Marinette County
Wisconsin,Marquette County,Marquette County
Wisconsin,Menominee County,Menominee County
Wisconsin,Milwaukee County,Milwaukee County
Wisconsin,Monroe County,Monroe County
Wisconsin,Oconto County,Oconto County
Wisconsin,Outagamie County,Outagamie County
Wisconsin,Ozaukee County,Ozaukee County
Wisconsin,Pepin County,Pepin County
Wisconsin,Portage County,Portage County
Wisconsin,Racine County,Racine County
Wisconsin,Rock County,Rock County
Wisconsin,Sauk County,Sauk County
Wisconsin,Sawyer County,Sawyer County
Wisconsin,Shawano County,Shawano County
Wisconsin,Sheboygan County,Sheboygan County
Wisconsin,Taylor County,Taylor County
Wisconsin,Trempealeau County,Trempealeau County
Wisconsin,Vernon County,Vernon County
Wisconsin,Walworth County,Walworth County
Wisconsin,Washburn County,Washburn County
Wisconsin,Washington County,Washington County
Wisconsin,Waukesha County,Waukesha County
Wisconsin,Winnebago County,Winnebago County
Wisconsin,Wood County,Wood County
